Variables,Statistics,OpenACC_Casale,OpenACC_Vicolungo
Speed_LV,mean,32.2386017734461,29.029432604556582
Speed_LV,std,6.643807152061079,5.631324661428299
Speed_LV,min,0.0005144444215489,7.519113668273031
Speed_LV,max,40.10351666649833,40.77298721998807
Acc_LV,mean,-0.0009806313450478,0.0079398032322469
Acc_LV,std,0.6130363771052872,0.5860210323455967
Acc_LV,min,-10.74674547788156,-6.034597802497181
Acc_LV,max,13.200644346433492,28.49374095050763
Speed_FAV,mean,32.23224722357469,29.00302044095538
Speed_FAV,std,6.846918030981661,5.789737352136235
Speed_FAV,min,0.0009999998110277,7.2667500987437155
Speed_FAV,max,41.20799999913714,40.79631820072822
Acc_FAV,mean,-0.0012104619962381,0.0081159170204994
Acc_FAV,std,0.648570009986878,0.6390710331443048
Acc_FAV,min,-9.790000326873738,-4.569607389313433
Acc_FAV,max,10.070000043238778,41.677852636246016
Spatial_Gap,mean,42.61201915461961,40.86668226617296
Spatial_Gap,std,15.278598814789312,14.778994865773305
Spatial_Gap,min,1.4633189379637006,9.053849391055664
Spatial_Gap,max,137.7210617207462,122.41806062234828
Spatial_Headway,mean,47.11201915461961,45.36668226617296
Spatial_Headway,std,15.278598814789312,14.778994865773305
Spatial_Headway,min,5.963318937963701,13.553849391055664
Spatial_Headway,max,142.2210617207462,126.91806062234828
